Acquired Date,Revenue
9/25/2008,193881
11/13/2004,193920
9/25/2008,194845
11/13/2004,194965
11/13/2004,194967
9/25/2008,195303
9/25/2008,195328
7/14/1996,195352
11/13/2004,195613
11/13/2004,195618
11/13/2004,195817
9/25/2008,195988
11/13/2004,196025
11/13/2004,196112
9/25/2008,196230
9/25/2008,196400
10/1/2006,196529
11/13/2004,197309
10/1/2006,197413
10/1/2006,197478
9/25/2008,198011
11/13/2004,198135
9/25/2008,198148
11/13/2004,198292
11/13/2004,198355
9/25/2008,198365
11/13/2004,198487
11/13/2004,198642
9/25/2008,198917
9/25/2008,199181
10/1/2006,199325
9/25/2008,199481
11/13/2004,199638
9/25/2008,199826
11/13/2004,199835
11/13/2004,199902
11/13/2004,199924
9/25/2008,199940
9/25/2008,200249
10/1/2006,200462
9/25/2008,201714
11/13/2004,201777
9/25/2008,202399
11/13/2004,202522
11/13/2004,202547
9/25/2008,202582
10/1/2006,202757
11/13/2004,202792
11/13/2004,203136
9/25/2008,203657
11/13/2004,203805
9/25/2008,203820
11/13/2004,204117
11/13/2004,204304
9/25/2008,204309
9/25/2008,204700
11/13/2004,204730
9/25/2008,204769
11/13/2004,205323
9/25/2008,205350
9/25/2008,205556
9/25/2008,205804
11/13/2004,205852
9/25/2008,206017
9/25/2008,206404
9/25/2008,206484
9/25/2008,206673
9/25/2008,207123
9/25/2008,207558
11/13/2004,207650
9/25/2008,207758
9/25/2008,207842
9/25/2008,207996
9/25/2008,208079
11/13/2004,208255
11/13/2004,208426
11/13/2004,208441
11/13/2004,208549
11/13/2004,208634
11/13/2004,208695
9/25/2008,208743
9/25/2008,208810
9/25/2008,209397
7/14/1996,209534
11/13/2004,209663
11/13/2004,209707
9/25/2008,209872
9/25/2008,209902
11/13/2004,209949
11/13/2004,210069
11/13/2004,210798
9/25/2008,211033
9/25/2008,211437
11/13/2004,211765
11/13/2004,211835
11/13/2004,211853
9/25/2008,212232
11/13/2004,212329
9/25/2008,213121
9/25/2008,213201
11/13/2004,213520
9/25/2008,213659
9/25/2008,213846
11/13/2004,213893
9/25/2008,214044
10/1/2006,214113
11/13/2004,214215
9/25/2008,214230
10/1/2006,214406
9/25/2008,214475
9/25/2008,214988
9/25/2008,215185
11/13/2004,215810
11/13/2004,215830
11/13/2004,215846
9/25/2008,216094
9/25/2008,216147
11/13/2004,216611
10/1/2006,216626
11/13/2004,216665
11/13/2004,216858
9/25/2008,217165
9/25/2008,217172
9/25/2008,217186
9/25/2008,217459
9/25/2008,217970
9/25/2008,217994
9/25/2008,218217
11/13/2004,218324
11/13/2004,218356
10/1/2006,218614
11/13/2004,218652
11/13/2004,218669
9/25/2008,218671
11/13/2004,218672
11/13/2004,218699
11/13/2004,218721
11/13/2004,218847
10/1/2006,218884
11/13/2004,218913
11/13/2004,219326
9/25/2008,219434
10/1/2006,219651
9/25/2008,219774
11/13/2004,219866
9/25/2008,219989
9/25/2008,220231
11/13/2004,220540
11/13/2004,220900
9/25/2008,220955
11/13/2004,221016
9/25/2008,221164
9/25/2008,221272
11/13/2004,221472
11/13/2004,221633
9/25/2008,221829
11/13/2004,221840
11/13/2004,221933
11/13/2004,221954
11/13/2004,222005
11/13/2004,222160
9/25/2008,222355
11/13/2004,222926
9/25/2008,223242
11/13/2004,223410
11/13/2004,223603
9/25/2008,223760
9/25/2008,223790
9/25/2008,224008
11/13/2004,224091
11/13/2004,224289
11/13/2004,224615
11/13/2004,224973
11/13/2004,225077
11/13/2004,225283
11/13/2004,225600
9/25/2008,225628
7/14/1996,225931
11/13/2004,226020
9/25/2008,226048
11/13/2004,226077
11/13/2004,226469
9/25/2008,226559
9/25/2008,226630
9/25/2008,226798
11/13/2004,226902
9/25/2008,226910
11/13/2004,227000
11/13/2004,227257
10/1/2006,227422
11/13/2004,227616
9/25/2008,227668
9/25/2008,227672
9/25/2008,227922
9/25/2008,227928
11/13/2004,228124
9/25/2008,228204
11/13/2004,228335
10/1/2006,228377
11/13/2004,228731
11/13/2004,228795
11/13/2004,228884
11/13/2004,228925
9/25/2008,229261
11/13/2004,229532
11/13/2004,229536
9/25/2008,230188
7/14/1996,230510
11/13/2004,230517
11/13/2004,230567
10/1/2006,230725
11/13/2004,231110
11/13/2004,231385
9/25/2008,231504
10/1/2006,231642
11/13/2004,231869
9/25/2008,232243
9/25/2008,232473
9/25/2008,232561
11/13/2004,232676
11/13/2004,232676
9/25/2008,232736
11/13/2004,232802
6/20/1992,232820
11/13/2004,232835
11/13/2004,232849
9/25/2008,232917
10/1/2006,233237
9/25/2008,233863
9/25/2008,234070
7/14/1996,234122
11/13/2004,234332
11/13/2004,234785
9/25/2008,234904
11/13/2004,235221
11/13/2004,235232
9/25/2008,235405
9/25/2008,235624
11/13/2004,235740
9/25/2008,235783
9/25/2008,235900
8/1/2000,236090
9/25/2008,236177
11/13/2004,236243
10/1/2006,236306
1/18/1975,236739
9/25/2008,236990
7/14/1996,237163
11/13/2004,237210
11/13/2004,237404
11/13/2004,237633
11/13/2004,237854
9/25/2008,237868
9/25/2008,237974
10/1/2006,238043
11/13/2004,238104
9/25/2008,238154
9/25/2008,238314
11/13/2004,238689
11/13/2004,238879
9/25/2008,238903
9/25/2008,239083
11/13/2004,239131
11/13/2004,239198
11/13/2004,239405
9/25/2008,239699
9/25/2008,239749
9/25/2008,239946
10/1/2006,240511
11/13/2004,240531
10/1/2006,240642
11/13/2004,240678
9/25/2008,240834
11/13/2004,240959
9/25/2008,240965
9/25/2008,241071
9/25/2008,241380
11/13/2004,241469
11/13/2004,241636
11/13/2004,241685
10/1/2006,241860
8/1/2000,242132
9/25/2008,243083
11/13/2004,243085
11/13/2004,243129
10/1/2006,243201
9/25/2008,243340
11/13/2004,243489
9/25/2008,244119
11/13/2004,244156
11/13/2004,244180
9/25/2008,244391
10/1/2006,244513
11/13/2004,244752
9/25/2008,245088
9/25/2008,245167
9/25/2008,245170
9/25/2008,245341
9/25/2008,245345
9/25/2008,245585
9/25/2008,245590
9/25/2008,245649
11/13/2004,246177
11/13/2004,246217
11/13/2004,246283
9/25/2008,246314
9/25/2008,246516
10/1/2006,246861
9/25/2008,247157
9/25/2008,247421
11/13/2004,247459
9/25/2008,247601
11/13/2004,247689
11/13/2004,247789
11/13/2004,248180
9/25/2008,248728
9/25/2008,248936
11/13/2004,249018
11/13/2004,249039
11/13/2004,249634
9/25/2008,249875
11/13/2004,249980
11/13/2004,250074
11/13/2004,250092
9/25/2008,250136
11/13/2004,250224
11/13/2004,250290
9/25/2008,250401
11/13/2004,250412
9/25/2008,250427
11/13/2004,250510
7/14/1996,250963
9/25/2008,250987
9/25/2008,251148
11/13/2004,251234
11/13/2004,251316
9/25/2008,251344
9/25/2008,251453
9/25/2008,251547
9/25/2008,251644
10/1/2006,251778
9/25/2008,251997
11/13/2004,252035
11/13/2004,252054
10/1/2006,252079
11/13/2004,252103
10/1/2006,252283
11/13/2004,252346
11/13/2004,252536
9/25/2008,252701
9/25/2008,252909
9/25/2008,252929
11/13/2004,253624
11/13/2004,253735
9/25/2008,253943
9/25/2008,254246
9/25/2008,254344
9/25/2008,255133
11/13/2004,255422
9/25/2008,255487
11/13/2004,255589
11/13/2004,255617
9/25/2008,255884
11/13/2004,256135
9/25/2008,256664
9/25/2008,256852
9/25/2008,257383
11/13/2004,257499
9/25/2008,257792
9/25/2008,257927
9/25/2008,258027
11/13/2004,258079
11/13/2004,258133
11/13/2004,258215
11/13/2004,258343
11/13/2004,258663
9/25/2008,258738
11/13/2004,258762
9/25/2008,259006
11/13/2004,259223
9/25/2008,259257
10/1/2006,259421
9/25/2008,259424
9/25/2008,259508
9/25/2008,259597
9/25/2008,259762
9/25/2008,259813
11/13/2004,259987
11/13/2004,260280
9/25/2008,260338
9/25/2008,260693
9/25/2008,260779
9/25/2008,260984
9/25/2008,261103
10/1/2006,261103
9/25/2008,261156
11/13/2004,261295
10/1/2006,261394
9/25/2008,261782
9/25/2008,261852
10/1/2006,261853
9/25/2008,262006
11/13/2004,262114
9/25/2008,262598
9/25/2008,262670
11/13/2004,262823
11/13/2004,262942
11/13/2004,263036
9/25/2008,263617
9/25/2008,263660
9/25/2008,263688
9/25/2008,264056
10/1/2006,264068
9/25/2008,264077
11/13/2004,264112
11/13/2004,264166
9/25/2008,264196
9/25/2008,264274
11/13/2004,264333
9/25/2008,264404
9/25/2008,264908
11/13/2004,264909
11/13/2004,264921
11/13/2004,264980
10/1/2006,264998
7/14/1996,265043
9/25/2008,265046
11/13/2004,265249
11/13/2004,265323
9/25/2008,265801
7/14/1996,265874
9/25/2008,266023
9/25/2008,266287
9/25/2008,266329
9/25/2008,266570
11/13/2004,266667
10/1/2006,266776
9/25/2008,266993
11/13/2004,267012
11/13/2004,267246
11/13/2004,267266
11/13/2004,267351
10/1/2006,267555
9/25/2008,267839
11/13/2004,267920
9/25/2008,267922
11/13/2004,267975
9/25/2008,268257
